srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,Predicted_tat_in_days
2829088,13,3,560011,233,233,131,1,0,560093,2017-07-30,2017-07-27,2018-02-01,4467,2018-02-06,10
2829866,10,2,110018,233,233,228,1,0,110034,2017-07-17,2017-01-25,2018-02-01,4388,2018-02-08,11
2894489,10,3,560011,233,233,228,3,0,590014,2018-01-12,2018-01-11,2018-02-21,4460,2018-02-28,12
2876708,10,2,110018,233,233,228,2,0,250110,2017-08-07,2017-05-21,2018-02-16,4388,2018-02-26,14
2890283,13,22,400104,233,233,131,3,0,496001,2017-11-10,2017-09-22,2018-02-20,4581,2018-02-23,15
2897438,15,6,160059,233,233,131,2,0,160036,2017-12-12,2017-12-10,2018-02-22,4549,2018-02-27,14
2849010,15,2,110018,233,233,228,1,0,110065,2017-09-08,2017-05-07,2018-02-07,4091,2018-03-02,12
2887783,30,2,110018,233,233,228,1,0,110092,2018-02-02,2017-09-22,2018-02-19,4095,2018-02-26,13
2941799,13,21,110015,233,233,131,2,0,124001,2017-12-31,2017-06-26,2018-03-05,4580,2018-03-14,13
2973976,13,22,400104,233,233,131,1,0,400011,2017-05-22,2018-03-26,2018-03-13,4581,2018-03-17,11
2977421,21,2,110018,233,233,131,1,0,110006,2017-12-31,2017-12-25,2018-03-13,4154,2018-03-19,14
2982990,13,26,560066,233,233,131,1,0,600097,2017-06-12,2017-06-10,2018-03-15,5001,2018-03-20,11
2979785,10,2,110018,233,233,131,1,0,201301,2017-10-24,2017-10-21,2018-03-14,4388,2018-03-20,12
2984029,19,1,400059,233,233,131,2,0,440027,2018-02-25,2018-02-13,2018-03-15,4011,2018-03-19,19
3012909,4,2,110018,233,233,131,1,0,201301,2017-11-18,2017-07-11,2018-03-24,4148,2018-03-29,12
3030307,10,27,110034,233,233,131,1,0,110092,2017-11-16,2017-08-25,2018-03-28,4388,2018-03-31,13
3048314,13,7,500004,233,233,131,1,0,500011,2018-02-07,2017-04-25,2018-04-02,4403,2018-04-10,8
3060524,15,2,110018,233,233,228,1,0,110029,2018-03-15,2018-02-08,2018-04-06,4094,2018-04-12,10
3064259,13,21,110015,233,233,131,2,0,124001,2017-05-05,2017-05-02,2018-04-07,4580,2018-04-17,9
3057867,15,2,110018,308,233,228,1,0,110092,2018-03-18,2018-03-18,2018-04-05,4550,2018-04-16,8
2870652,10,3,560011,233,245,228,1,0,560102,2017-07-11,2016-08-05,2018-02-14,4460,2018-02-15,9
2920134,10,3,560011,233,245,131,1,0,560062,2017-03-28,2017-03-27,2018-02-27,4460,2018-03-01,10
2866111,13,21,110015,233,233,131,1,0,122002,2017-05-08,2017-05-05,2018-02-13,4580,2018-02-17,10
2908430,10,3,560011,233,233,131,2,0,570029,2017-12-28,2017-12-28,2018-02-26,4460,2018-03-03,12
2920849,13,22,400104,233,233,131,2,0,462043,2017-06-08,2017-06-03,2018-02-27,4581,2018-03-03,15
2884266,6,5,380009,233,245,131,1,0,380008,2017-02-24,2017-02-22,2018-02-19,4039,2018-02-21,12
2819466,13,4,600024,233,233,131,2,0,636016,2017-05-06,2017-06-16,2018-01-30,4490,2018-02-03,11
